radius,twist,chord,rel_thickness,airfoil
2.8,0.2530727415391778,5.38,1000.0,combined_data_new_v2.txt
11.0027383,0.2518860712367958,5.45248001,860.4914759999999,combined_data_new_v2.txt
16.871021,0.21896855940559082,5.86600432,610.969583,combined_data_new_v2.txt
22.9641225,0.15520257103700963,6.18451124,430.356446,combined_data_new_v2.txt
32.3076383,0.11139036494900563,6.01996243,324.15052699999995,combined_data_new_v2.txt
41.5730197,0.08156928607512677,5.42189119,278.103477,combined_data_new_v2.txt
50.4110617,0.050379843062278516,4.69821952,253.17976,combined_data_new_v2.txt
58.5344352,0.021069436881024767,3.99867965,242.644205,combined_data_new_v2.txt
65.7500952,-0.002275553559232587,3.39809449,241.006815,combined_data_new_v2.txt
71.9674921,-0.019441655030553482,2.91304006,241.0,combined_data_new_v2.txt
77.1859743,-0.032497310898350895,2.53594729,241.000016,combined_data_new_v2.txt
78.7133469,-0.03626142828767372,2.4307714,241.000006,combined_data_new_v2.txt
80.1402166,-0.0397948927368968,2.33143176,241.0,combined_data_new_v2.txt
82.7084849,-0.04614797307009808,2.12906893,241.0,combined_data_new_v2.txt
84.9251565,-0.051401180069948316,1.9033225,241.0,combined_data_new_v2.txt
86.8264859,-0.05545485177096721,1.62601186,241.0,combined_data_new_v2.txt
88.4486629,-0.05859989179889555,1.18359898,241.0,combined_data_new_v2.txt
