height,diameter,wall_thickness
0.00,7.545454545,0.034545455
10.45,7.292272727,0.034545455
10.45545455,7.292272727,0.032727273
20.90909091,7.039181818,0.032727273
20.91,7.039181818,0.030909091
31.36363636,6.786,0.030909091
31.36454545,6.786,0.029090909
41.81818182,6.532818182,0.029090909
41.81909091,6.528636364,0.027272727
52.27272727,6.279636364,0.027272727
52.27363636,6.279636364,0.025454545
62.73,6.03,0.03
62.73,6.03,0.03
73.18,5.77,0.02
73.18,5.77,0.02
83.64,5.52,0.02
83.64,5.52,0.02
94.09,5.27,0.02
94.09,5.27,0.02
105.12,5.00,0.02
