airfoil_name,polar_file_name,coord_file_name,StallAngle1,StallAngle2,CnSlope,CritCn1,CritCn2
IEA-10.0-198-RWT_AeroDyn15_Polar_0,IEA-10.0-198-RWT_AeroDyn15_Polar_0.dat,IEA-10.0-198-RWT_AF00_Coords.dat,57.378366,-57.378366,0.598277,0.6,-0.6
IEA-10.0-198-RWT_AeroDyn15_Polar_1,IEA-10.0-198-RWT_AeroDyn15_Polar_1.dat,IEA-10.0-198-RWT_AF01_Coords.dat,11.250342,-4.036458,1.330871,0.263519,-0.095601
IEA-10.0-198-RWT_AeroDyn15_Polar_2,IEA-10.0-198-RWT_AeroDyn15_Polar_2.dat,IEA-10.0-198-RWT_AF02_Coords.dat,11.270914,-3.350595,3.70617,0.809112,-0.154072
IEA-10.0-198-RWT_AeroDyn15_Polar_3,IEA-10.0-198-RWT_AeroDyn15_Polar_3.dat,IEA-10.0-198-RWT_AF03_Coords.dat,11.924701,-3.569411,6.615995,1.581853,-0.489475
IEA-10.0-198-RWT_AeroDyn15_Polar_4,IEA-10.0-198-RWT_AeroDyn15_Polar_4.dat,IEA-10.0-198-RWT_AF04_Coords.dat,0.0,0.0,0.0,0.0,0.0
IEA-10.0-198-RWT_AeroDyn15_Polar_5,IEA-10.0-198-RWT_AeroDyn15_Polar_5.dat,IEA-10.0-198-RWT_AF05_Coords.dat,13.336611,-9.63134,8.043392,1.951623,-1.202119
IEA-10.0-198-RWT_AeroDyn15_Polar_6,IEA-10.0-198-RWT_AeroDyn15_Polar_6.dat,IEA-10.0-198-RWT_AF06_Coords.dat,13.861615,-10.632605,8.169536,2.098377,-1.295498
IEA-10.0-198-RWT_AeroDyn15_Polar_7,IEA-10.0-198-RWT_AeroDyn15_Polar_7.dat,IEA-10.0-198-RWT_AF07_Coords.dat,14.487439,-11.503519,8.042165,2.129206,-1.339769
IEA-10.0-198-RWT_AeroDyn15_Polar_8,IEA-10.0-198-RWT_AeroDyn15_Polar_8.dat,IEA-10.0-198-RWT_AF08_Coords.dat,14.407167,-11.718174,7.973458,2.072734,-1.335856
IEA-10.0-198-RWT_AeroDyn15_Polar_9,IEA-10.0-198-RWT_AeroDyn15_Polar_9.dat,IEA-10.0-198-RWT_AF09_Coords.dat,14.346492,-11.872104,7.915304,2.029719,-1.329715
IEA-10.0-198-RWT_AeroDyn15_Polar_10,IEA-10.0-198-RWT_AeroDyn15_Polar_10.dat,IEA-10.0-198-RWT_AF10_Coords.dat,14.287867,-11.937799,7.871745,2.002192,-1.298478
IEA-10.0-198-RWT_AeroDyn15_Polar_11,IEA-10.0-198-RWT_AeroDyn15_Polar_11.dat,IEA-10.0-198-RWT_AF11_Coords.dat,14.235998,-11.979705,7.837298,1.979451,-1.235544
IEA-10.0-198-RWT_AeroDyn15_Polar_12,IEA-10.0-198-RWT_AeroDyn15_Polar_12.dat,IEA-10.0-198-RWT_AF12_Coords.dat,14.198924,-12.029075,7.80497,1.962674,-1.180502
IEA-10.0-198-RWT_AeroDyn15_Polar_13,IEA-10.0-198-RWT_AeroDyn15_Polar_13.dat,IEA-10.0-198-RWT_AF13_Coords.dat,14.196402,-12.107631,7.768153,1.94927,-1.131514
IEA-10.0-198-RWT_AeroDyn15_Polar_14,IEA-10.0-198-RWT_AeroDyn15_Polar_14.dat,IEA-10.0-198-RWT_AF14_Coords.dat,14.232562,-12.204194,7.721925,1.939513,-1.098637
IEA-10.0-198-RWT_AeroDyn15_Polar_15,IEA-10.0-198-RWT_AeroDyn15_Polar_15.dat,IEA-10.0-198-RWT_AF15_Coords.dat,14.262966,-12.276349,7.655092,1.923888,-1.08581
IEA-10.0-198-RWT_AeroDyn15_Polar_16,IEA-10.0-198-RWT_AeroDyn15_Polar_16.dat,IEA-10.0-198-RWT_AF16_Coords.dat,14.150491,-12.404851,7.554373,1.882743,-1.072695
IEA-10.0-198-RWT_AeroDyn15_Polar_17,IEA-10.0-198-RWT_AeroDyn15_Polar_17.dat,IEA-10.0-198-RWT_AF17_Coords.dat,14.058575,-12.485716,7.464945,1.854596,-1.065931
IEA-10.0-198-RWT_AeroDyn15_Polar_18,IEA-10.0-198-RWT_AeroDyn15_Polar_18.dat,IEA-10.0-198-RWT_AF18_Coords.dat,14.100171,-12.430733,7.376026,1.841307,-1.04272
IEA-10.0-198-RWT_AeroDyn15_Polar_19,IEA-10.0-198-RWT_AeroDyn15_Polar_19.dat,IEA-10.0-198-RWT_AF19_Coords.dat,14.191749,-12.315992,7.284937,1.837852,-1.018124
IEA-10.0-198-RWT_AeroDyn15_Polar_20,IEA-10.0-198-RWT_AeroDyn15_Polar_20.dat,IEA-10.0-198-RWT_AF20_Coords.dat,14.220826,-12.354253,7.22691,1.836586,-1.040349
IEA-10.0-198-RWT_AeroDyn15_Polar_21,IEA-10.0-198-RWT_AeroDyn15_Polar_21.dat,IEA-10.0-198-RWT_AF21_Coords.dat,14.206979,-12.467015,7.186981,1.830911,-1.050635
IEA-10.0-198-RWT_AeroDyn15_Polar_22,IEA-10.0-198-RWT_AeroDyn15_Polar_22.dat,IEA-10.0-198-RWT_AF22_Coords.dat,14.179605,-12.626879,7.149407,1.821058,-1.061853
IEA-10.0-198-RWT_AeroDyn15_Polar_23,IEA-10.0-198-RWT_AeroDyn15_Polar_23.dat,IEA-10.0-198-RWT_AF23_Coords.dat,14.144337,-12.837008,7.114901,1.808732,-1.073386
IEA-10.0-198-RWT_AeroDyn15_Polar_24,IEA-10.0-198-RWT_AeroDyn15_Polar_24.dat,IEA-10.0-198-RWT_AF24_Coords.dat,14.106385,-13.086956,7.084124,1.795479,-1.08453
IEA-10.0-198-RWT_AeroDyn15_Polar_25,IEA-10.0-198-RWT_AeroDyn15_Polar_25.dat,IEA-10.0-198-RWT_AF25_Coords.dat,14.069985,-13.356882,7.057692,1.782645,-1.096719
IEA-10.0-198-RWT_AeroDyn15_Polar_26,IEA-10.0-198-RWT_AeroDyn15_Polar_26.dat,IEA-10.0-198-RWT_AF26_Coords.dat,14.037552,-13.618507,7.036155,1.771269,-1.108397
IEA-10.0-198-RWT_AeroDyn15_Polar_27,IEA-10.0-198-RWT_AeroDyn15_Polar_27.dat,IEA-10.0-198-RWT_AF27_Coords.dat,14.008281,-13.810527,7.01995,1.764279,-1.121769
IEA-10.0-198-RWT_AeroDyn15_Polar_28,IEA-10.0-198-RWT_AeroDyn15_Polar_28.dat,IEA-10.0-198-RWT_AF28_Coords.dat,13.979765,-13.928031,7.009449,1.759464,-1.129817
IEA-10.0-198-RWT_AeroDyn15_Polar_29,IEA-10.0-198-RWT_AeroDyn15_Polar_29.dat,IEA-10.0-198-RWT_AF29_Coords.dat,13.924569,-13.941597,7.004117,1.75319,-1.12949
