alpha,c_l,c_d,c_m
-180.0,0.0,0.049607173038662,0.0
-177.0,0.09401762315004,0.050730729939177,0.11944098770048
-174.0,0.18803524489016,0.0537274850590392,0.238881973609782
-171.0,0.282053384666101,0.0585678885419299,0.358323617637296
-168.0,0.376075267171161,0.0653301649014134,0.402504942246544
-165.0,0.470088113813953,0.0838672438992551,0.40905658684171
-162.0,0.564110870168341,0.12056637078145,0.415608922033009
-159.0,0.658118178125987,0.163302898168758,0.427576737072952
-156.0,0.752143437528222,0.211392413963591,0.450382923406419
-153.0,0.846159611287709,0.263951052119803,0.473186905982484
-150.0,0.940176228686941,0.320746654979998,0.492854502959822
-147.0,0.98208680700907,0.381513108005517,0.481157411840146
-144.0,0.919783296459692,0.444337148609461,0.465391307205531
-141.0,0.865116359370269,0.509815324925923,0.449180887875964
-138.0,0.813201844531743,0.575446988437437,0.437014686747042
-135.0,0.763388505440458,0.640943254708879,0.427847028695135
-132.0,0.714948896595064,0.70904232884187,0.41872303157527
-129.0,0.666640635347132,0.776152839871128,0.413873035747476
-126.0,0.618046196016627,0.841934661981873,0.411213029593206
-123.0,0.568972737986709,0.906059788407628,0.410154998729616
-120.0,0.5187744630626,0.966463149040935,0.409586551211053
-117.0,0.467728394162411,1.02342640052857,0.410085552228884
-114.0,0.415947735137104,1.076868343798,0.411117278005675
-111.0,0.36339034323643,1.1258071527847,0.412149010495628
-108.0,0.310214383047156,1.16812609686144,0.412083628223327
-105.0,0.256918960971365,1.20546555255127,0.411771690291922
-102.0,0.203662208826542,1.23764533885357,0.411139056414278
-99.0,0.150933927719746,1.2622270762155,0.409295793900256
-96.0,0.0993075967268871,1.27967161296243,0.405928193420139
-93.0,0.0489239275443572,1.29120002471614,0.402086315406736
-90.0,-1.91644377526491e-10,1.29673909280147,0.398247371853592
-87.0,-0.0489239272510269,1.29120002474935,0.38971960628662
-84.0,-0.0993075965882835,1.27967161300355,0.381197664432564
-81.0,-0.15093392813284,1.26222707602292,0.37230575554209
-78.0,-0.203662209239635,1.23764533866098,0.362216580155637
-75.0,-0.256918960756923,1.20546555268572,0.351178962685691
-72.0,-0.310214382798067,1.16812609705617,0.339902504835241
-69.0,-0.363390343578959,1.12580715246576,0.328454478287962
-66.0,-0.415947734752763,1.07686834415588,0.31621420123127
-63.0,-0.467728394091093,1.02342640060512,0.303990577440146
-60.0,-0.518774463224458,0.966463148846172,0.291888108768702
-57.0,-0.568972737454324,0.906059789048244,0.279229833799748
-54.0,-0.618046196110114,0.841934661859217,0.266581971384578
-51.0,-0.666640635725355,0.776152839347127,0.254027058097807
-48.0,-0.714948896846954,0.709042328487901,0.241595829706597
-45.0,-0.763388505022427,0.640943255298988,0.229405265155178
-42.0,-0.85070184452831,0.57544698844187,0.217214700467277
-39.0,-0.940116359473803,0.509815324801155,0.186722705365902
-36.0,-1.03228329579892,0.444337149275126,0.128085786684527
-33.0,-1.13208680720996,0.381513107802806,0.067516460704327
-30.0,-1.22392350845442,0.282428595365519,0.0383027122014372
-29.3939393939394,-1.22964288450756,0.258593068755796,0.0351329792675613
-28.7878787878788,-1.23844312374756,0.235991665490335,0.0319736981031044
-28.1818181818182,-1.24944613108849,0.213417249681618,0.0288261740508673
-27.5757575757576,-1.24808771875149,0.201357025706153,0.0260439211673901
-26.969696969697,-1.24139660426199,0.193802883049155,0.0234214894566248
-26.3636363636364,-1.23518088756634,0.187849061237016,0.0208082096091064
-25.7575757575758,-1.22939030413189,0.181880481843509,0.0182054980856145
-25.1515151515151,-1.22398143424891,0.175845809492549,0.0156150795540339
-24.5454545454545,-1.21323475808264,0.169752420927832,0.0130390755400388
-23.9393939393939,-1.20094469747281,0.163534608037824,0.0105301499627643
-23.3333333333333,-1.18917628218276,0.156645533298157,0.00849282823200377
-22.7272727272727,-1.17757567650855,0.149754581398655,0.00647880585716549
-22.1212121212121,-1.16624365507137,0.142861814222189,0.00448805613834264
-21.5151515151515,-1.1549712356252,0.135967290961132,0.00252055241640855
-20.9090909090909,-1.1437568865918,0.129071068262015,0.000576268072938816
-20.3030303030303,-1.13259912842277,0.12217320036093,-0.0016465036429719
-19.6969696969697,-1.12104699923335,0.116518793704483,-0.00351590286585912
-19.0909090909091,-1.10907875987375,0.11210049426514,-0.0049068959038835
-18.4848484848485,-1.09713686076066,0.107671317236245,-0.00629788894190789
-17.8787878787879,-1.08461385564237,0.10315498882978,-0.00763222923769352
-17.2727272727273,-1.06973752491784,0.0983271539056358,-0.00873995851645822
-16.6666666666667,-1.0549674226581,0.0934992319009742,-0.00984768779522293
-16.0606060606061,-1.04029938792032,0.0886712255018929,-0.0109554170739876
-15.4545454545455,-1.02813345722815,0.0841541181636338,-0.0114563869487382
-14.8484848484848,-1.01632239622518,0.0796714066210147,-0.0118899390893344
-14.2424242424242,-1.00459490729439,0.0751885379285571,-0.0123234912299306
-13.6363636363636,-0.994001048945495,0.070871017800571,-0.0123646062222302
-13.030303030303,-0.975389160858585,0.0666637884169688,-0.0121440964202249
-12.4242424242424,-0.939079277823945,0.062456542750327,-0.0119235866182195
-11.8181818181818,-0.903885477772314,0.0583145856526945,-0.0116827010940485
-11.2121212121212,-0.871397976562247,0.0543222948396958,-0.0113942722130356
-10.6060606060606,-0.839327900109205,0.0503258566223221,-0.0111058433320227
-10.0,-0.807817300173227,0.0463252900883775,-0.00968753140581821
-9.39393939393939,-0.752439029321168,0.0427749801037745,-0.0139331688091117
-8.78787878787879,-0.697907292625534,0.0392076549263416,-0.0182615044789
-8.18181818181818,-0.644989509120866,0.0356230500199262,-0.0226099721772934
-7.57575757575758,-0.574863834705195,0.0330659005487339,-0.0285021707134559
-6.96969696969697,-0.49717297126639,0.0309503601185824,-0.035252639752092
-6.36363636363636,-0.419850984895841,0.0288305621890087,-0.0422922574878009
-5.75757575757576,-0.342753831181069,0.0269738632735841,-0.0491805740902975
-5.15151515151515,-0.265016292675734,0.0255142981670025,-0.0553567895019094
-4.54545454545454,-0.187537670005966,0.0240509232203666,-0.0615912751130114
-3.93939393939394,-0.109919759718948,0.0226661069741978,-0.0679074651805323
-3.33333333333333,-0.0284214403941917,0.0220207023007368,-0.0745803122384671
-2.72727272727273,0.0566564053526874,0.021374473729254,-0.081385316553151
-2.12121212121212,0.145349371777999,0.0207274179687512,-0.0883235984600019
-1.51515151515152,0.235095175182991,0.0203920735792214,-0.0954163042058483
-0.909090909090912,0.32503537980394,0.0201572595677386,-0.101555262444656
-0.303030303030302,0.414585672364407,0.020050347913431,-0.106872002815841
0.303030303030302,0.503683162267988,0.019994542308906,-0.11194321135999
0.909090909090912,0.592327849514687,0.0199898565694486,-0.116768888077104
1.51515151515152,0.679919627604264,0.0200906520491975,-0.121138327297206
2.12121212121212,0.76707793392422,0.0202273135578348,-0.125329063875097
2.72727272727273,0.853245583446855,0.0204330058781445,-0.129127040005925
3.33333333333333,0.938723972959845,0.020687355191097,-0.132687534755181
3.93939393939394,1.02353328930615,0.0209814644377345,-0.13605372652321
4.54545454545455,1.10700670315112,0.0213653172338114,-0.139035595300031
5.15151515151515,1.18993533712926,0.0217877987325229,-0.141863940207083
5.75757575757576,1.27165880864735,0.0222964898963019,-0.144359821090733
6.36363636363637,1.35218189626404,0.0228873233749581,-0.146574340531249
6.96969696969697,1.43190472798417,0.0235325713696966,-0.14860403641133
7.57575757575757,1.50907076268149,0.024397405328855,-0.150093017649072
8.18181818181818,1.58506992346778,0.0253739114660114,-0.151368307678183
8.78787878787879,1.65866037147675,0.0265846085025201,-0.152220506083856
9.39393939393939,1.72927164296831,0.0281930718990638,-0.15269399289683
10.0,1.79827874213266,0.0300089127901869,-0.15296355804384
10.6060606060606,1.85972084606961,0.0331381652079589,-0.152598556938084
11.2121212121212,1.9168437434442,0.0372228509564603,-0.152070753154689
11.8181818181818,1.94557301235614,0.043031616395093,-0.151240601506137
12.4242424242424,1.96482117040249,0.0506236683646387,-0.15035815050638
13.030303030303,1.98328405421433,0.0588415178879244,-0.149370198212294
13.6363636363636,1.9917596130379,0.0678995683269164,-0.146803586669253
14.2424242424242,1.98740811069297,0.0758413551725106,-0.144765810158071
14.8484848484848,1.98632110736453,0.0823344418358293,-0.143521286107434
15.4545454545455,1.97126388173801,0.0898386723295096,-0.141988653961087
16.0606060606061,1.94834694339768,0.0980974365125836,-0.140409235595883
16.6666666666667,1.8928129458398,0.110218070482037,-0.139273065487059
17.2727272727273,1.84250339491742,0.122101909616359,-0.138136895378236
17.8787878787879,1.79549335289454,0.133766166111324,-0.137000725269413
18.4848484848485,1.75589254792556,0.145511721742674,-0.137790942742661
19.0909090909091,1.71783003056383,0.157266583896298,-0.139062757009278
19.6969696969697,1.67977344382106,0.168974299312908,-0.140216181741484
20.3030303030303,1.65468041764994,0.179517954778464,-0.141998678940371
20.9090909090909,1.64290844884342,0.188926475811272,-0.144438252282244
21.5151515151515,1.63170031917264,0.198325408393829,-0.146877825624117
22.1212121212121,1.62117757254978,0.207713687715752,-0.14931739896599
22.7272727272727,1.61246345406903,0.217090085241166,-0.151756972307862
23.3333333333333,1.60529096327944,0.226453175982623,-0.154196545649735
23.9393939393939,1.59946616703165,0.235801297598455,-0.156636118991608
24.5454545454545,1.60410358506275,0.245217236853883,-0.159996280618993
25.1515151515151,1.60868321952793,0.254619690611061,-0.163458729782228
25.7575757575758,1.60853656107593,0.263995617828786,-0.166921178945464
26.3636363636364,1.60953039922066,0.273340841137263,-0.170369755799209
26.969696969697,1.61190074099941,0.282650257442667,-0.173778907315489
27.5757575757576,1.61595353490068,0.29191756645657,-0.177188058831768
28.1818181818182,1.6215926595648,0.301244686529456,-0.180555376053976
28.7878787878788,1.62818447942834,0.310788170337009,-0.183825079903946
29.3939393939394,1.63246406144408,0.320295679839639,-0.187094783753916
30.0,1.62378625444474,0.329760183158101,-0.190364487603886
33.0,1.55298115315709,0.381513107802807,-0.206564447027817
36.0,1.4264761368556,0.444337149275126,-0.222794257185835
39.0,1.310880513534,0.509815324801155,-0.238670799944446
42.0,1.19921692075473,0.57544698844187,-0.251668215248296
45.0,1.0905550071749,0.640943255298988,-0.262519532425838
48.0,1.02135556692422,0.709042328487901,-0.273370849481891
51.0,0.952343765321936,0.776152839347128,-0.283644337882588
54.0,0.882923137300163,0.841934661859217,-0.293620861771615
57.0,0.81281819636332,0.906059789048245,-0.303383288093137
60.0,0.741106376034939,0.966463148846173,-0.31315722528157
63.0,0.668183420130132,1.02342640060512,-0.322888011197555
66.0,0.594211049646805,1.07686834415588,-0.331755859379099
69.0,0.519129062255656,1.12580715246576,-0.340653195444343
72.0,0.443163403997239,1.16812609705617,-0.349430320076744
75.0,0.367027086795605,1.20546555268572,-0.358190202351018
78.0,0.290946013199478,1.23764533866099,-0.366879249988005
81.0,0.215619897332628,1.26222707602292,-0.375173292751732
84.0,0.141867995126119,1.27967161300355,-0.38296439568298
87.0,0.0698913246443239,1.29120002474935,-0.390602654511475
90.0,2.7377753864044203e-10,1.29673909280147,-0.39824737185705
93.0,-0.048923927544357,1.29120002471614,-0.402086315406736
96.0,-0.0993075967268875,1.27967161296243,-0.405928193420139
99.0,-0.150933927719746,1.2622270762155,-0.409295793900256
102.0,-0.203662208826541,1.23764533885357,-0.411139056414278
105.0,-0.256918960971366,1.20546555255127,-0.411771690291922
108.0,-0.310214383047155,1.16812609686144,-0.412083628223327
111.0,-0.363390343236431,1.1258071527847,-0.412149010495629
114.0,-0.415947735137104,1.076868343798,-0.411117278005675
117.0,-0.467728394162411,1.02342640052857,-0.410085552228884
120.0,-0.5187744630626,0.966463149040935,-0.409586551211053
123.0,-0.568972737986709,0.906059788407628,-0.410154998729615
126.0,-0.618046196016627,0.841934661981873,-0.411213029593206
129.0,-0.666640635347133,0.776152839871127,-0.413873035747476
132.0,-0.714948896595064,0.709042328841869,-0.41872303157527
135.0,-0.763388505440458,0.640943254708879,-0.427847028695135
138.0,-0.813201844531744,0.575446988437436,-0.437014686747042
141.0,-0.865116359370269,0.509815324925922,-0.449180887875965
144.0,-0.919783296459692,0.444337148609461,-0.465391307205531
147.0,-0.98208680700907,0.381513108005517,-0.481157411840146
150.0,-0.940176228686941,0.320746654979997,-0.492854502959822
153.0,-0.846158605712343,0.263950475936458,-0.473186662076332
156.0,-0.752140982737746,0.211391097435966,-0.450382327987599
159.0,-0.658123359763148,0.163305469123298,-0.427577993898867
162.0,-0.564105736788551,0.120564283625177,-0.435515395648965
165.0,-0.470088113813953,0.0838672438992552,-0.458823665066258
168.0,-0.376070490839355,0.065329792799578,-0.482131934483551
171.0,-0.282052867864757,0.0585678596132084,-0.447903701359221
174.0,-0.18803524489016,0.0537274850590392,-0.298602467012227
177.0,-0.09401762315004,0.050730729939177,-0.149301234625599
180.0,0.0,0.049607173038662,0.0
