Node,RNodes,AeroTwst,DRNodes,Chord,Airfoil
1,2.8667,13.308,2.7333,3.542,Cylinder1.txt
2,5.6000,13.308,2.7333,3.854,Cylinder1.txt
3,8.3333,13.308,2.7333,4.167,Cylinder2.txt
4,11.7500,13.308,4.1000,4.557,DU40_A17.txt
5,15.8500,11.480,4.1000,4.652,DU35_A17.txt
6,19.9500,10.162,4.1000,4.458,DU35_A17.txt
7,24.0500,9.011,4.1000,4.249,DU30_A17.txt
8,28.1500,7.795,4.1000,4.007,DU25_A17.txt
9,32.2500,6.544,4.1000,3.748,DU25_A17.txt
10,36.3500,5.361,4.1000,3.502,DU21_A17.txt
11,40.4500,4.188,4.1000,3.256,DU21_A17.txt
12,44.5500,3.125,4.1000,3.010,NACA64_A17.txt
13,48.6500,2.319,4.1000,2.764,NACA64_A17.txt
14,52.7500,1.526,4.1000,2.518,NACA64_A17.txt
15,56.1667,0.863,2.7333,2.313,NACA64_A17.txt
16,58.9000,0.370,2.7333,2.086,NACA64_A17.txt
17,61.6333,0.106,2.7333,1.419,NACA64_A17.txt
