alpha,c_l,c_d,c_m,rel_thickness
-3.141592653589793,0.0,0.0,0.0,241
-3.0543261909900767,0.1736,0.0114,0.0218,241
-2.9670597283903604,0.342,0.0452,0.0434,241
-2.8797932657906435,0.5,0.1005,0.0647,241
-2.792526803190927,0.6428,0.1755,0.0855,241
-2.705260340591211,0.766,0.2679,0.1057,241
-2.6179938779914944,0.866,0.375,0.125,241
-2.530727415391778,0.9397,0.4935,0.1434,241
-2.443460952792061,0.9848,0.6197,0.1607,241
-2.356194490192345,1.0,0.75,0.1768,241
-2.2689280275926285,0.9848,0.8803,0.1915,241
-2.181661564992912,0.9397,1.0065,0.2048,241
-2.0943951023931953,0.866,1.125,0.2165,241
-2.007128639793479,0.766,1.2321,0.2266,241
-1.9198621771937625,0.6428,1.3245,0.2349,241
-1.8325957145940461,0.5,1.3995,0.2415,241
-1.7453292519943295,0.342,1.4548,0.2462,241
-1.6580627893946132,0.1736,1.4886,0.249,241
-1.5707963267948966,0.0,1.5,0.25,241
-1.4835298641951802,-0.1736,1.4886,0.249,241
-1.3962634015954636,-0.342,1.4548,0.2462,241
-1.3089969389957472,-0.5,1.3995,0.2415,241
-1.2217304763960306,-0.6428,1.3245,0.2349,241
-1.1344640137963142,-0.766,1.2321,0.2266,241
-1.0471975511965976,-0.866,1.125,0.2165,241
-0.9599310885968813,-0.9397,1.0065,0.2048,241
-0.8726646259971648,-0.9848,0.8603,0.1915,241
-0.7853981633974483,-1.012,0.712,0.1708,241
-0.6981317007977318,-1.0376,0.5475,0.1416,241
-0.6806784082777885,-1.0419,0.5165,0.1346,241
-0.6632251157578453,-1.0462,0.4816,0.1276,241
-0.6457718232379019,-1.0525,0.4487,0.1185,241
-0.6283185307179586,-1.0568,0.4177,0.1095,241
-0.6108652381980153,-1.0611,0.3848,0.1005,241
-0.5934119456780721,-1.0654,0.3558,0.0894,241
-0.5759586531581288,-1.0717,0.3289,0.0824,241
-0.5585053606381855,-1.0765,0.3031,0.0678,241
-0.5235987755982988,-1.0889,0.256,0.0508,241
-0.4886921905584123,-1.0993,0.209,0.0337,241
-0.4537856055185257,-1.1168,0.1756,0.0206,241
-0.4188790204786391,-1.1282,0.1423,0.0075,241
-0.3839724354387525,-1.1215,0.1183,-0.0008,241
-0.3490658503988659,-1.1148,0.0943,-0.0091,241
-0.3141592653589793,-1.0919,0.0765,-0.0123,241
-0.2792526803190927,-1.0691,0.0587,-0.0156,241
-0.24434609527920614,-1.0379,0.0454,-0.0156,241
-0.20943951023931956,-1.0067,0.0321,-0.0155,241
-0.17453292519943295,-0.8479,0.023,-0.0318,241
-0.13962634015954636,-0.6892,0.0138,-0.048,241
-0.10471975511965978,-0.4278,0.0118,-0.0611,241
-0.06981317007977318,-0.1665,0.0098,-0.0742,241
-0.03490658503988659,0.0863,0.0095,-0.0811,241
0.0,0.3391,0.0092,-0.088,241
0.03490658503988659,0.5867,0.0094,-0.0933,241
0.06981317007977318,0.8301,0.0099,-0.0977,241
0.10471975511965978,1.0656,0.0109,-0.1008,241
0.13962634015954636,1.2914,0.0124,-0.1026,241
0.17453292519943295,1.5012,0.0144,-0.1024,241
0.20943951023931956,1.6886,0.0173,-0.0998,241
0.24434609527920614,1.8103,0.0226,-0.0941,241
0.2792526803190927,1.8139,0.0354,-0.0874,241
0.3141592653589793,1.7545,0.0647,-0.085,241
0.3490658503988659,1.6071,0.1035,-0.0913,241
0.3839724354387525,1.5257,0.1437,-0.1026,241
0.4188790204786391,1.4428,0.1841,-0.114,241
0.4537856055185257,1.3826,0.229,-0.1282,241
0.4886921905584123,1.3218,0.2738,-0.1423,241
0.5235987755982988,1.2583,0.3278,-0.1582,241
0.5585053606381855,1.1944,0.3816,-0.1739,241
0.5759586531581288,1.1734,0.4209,-0.179,241
0.5934119456780721,1.1568,0.4504,-0.1831,241
0.6108652381980153,1.1379,0.4815,-0.1873,241
0.6283185307179586,1.1248,0.5105,-0.1914,241
0.6457718232379019,1.1177,0.545,-0.1953,241
0.6632251157578453,1.1024,0.5737,-0.1993,241
0.6806784082777885,1.0891,0.5999,-0.2032,241
0.6981317007977318,1.0755,0.628,-0.2071,241
0.7853981633974483,1.0175,0.7578,-0.2161,241
0.8726646259971648,0.9716,0.882,-0.2184,241
0.9599310885968813,0.9268,1.0104,-0.2214,241
1.0471975511965976,0.866,1.125,-0.2255,241
1.1344640137963142,0.766,1.2321,-0.2306,241
1.2217304763960306,0.6428,1.3245,-0.2349,241
1.3089969389957472,0.5,1.3995,-0.2415,241
1.3962634015954636,0.342,1.4548,-0.2462,241
1.4835298641951802,0.1736,1.4886,-0.249,241
1.5707963267948966,0.0,1.5,-0.25,241
1.6580627893946132,-0.1736,1.4886,-0.249,241
1.7453292519943295,-0.342,1.4548,-0.2462,241
1.8325957145940461,-0.5,1.3995,-0.2415,241
1.9198621771937625,-0.6428,1.3245,-0.2349,241
2.007128639793479,-0.766,1.2321,-0.2266,241
2.0943951023931953,-0.866,1.125,-0.2165,241
2.181661564992912,-0.9397,1.0065,-0.2048,241
2.2689280275926285,-0.9848,0.8803,-0.1915,241
2.356194490192345,-1.0,0.75,-0.1768,241
2.443460952792061,-0.9848,0.6197,-0.1607,241
2.530727415391778,-0.9397,0.4935,-0.1434,241
2.6179938779914944,-0.866,0.375,-0.125,241
2.705260340591211,-0.766,0.2679,-0.1057,241
2.792526803190927,-0.6428,0.1755,-0.0855,241
2.8797932657906435,-0.5,0.1005,-0.0647,241
2.9670597283903604,-0.342,0.0452,-0.0434,241
3.0543261909900767,-0.1736,0.0114,-0.0218,241
3.141592653589793,0.0,0.0,0.0,241
-3.141592653589793,0.0,0.0,0.0,301
-3.0543261909900767,0.1736,0.0099,0.0218,301
-2.9670597283903604,0.342,0.0392,0.0434,301
-2.8797932657906435,0.5,0.0871,0.0647,301
-2.792526803190927,0.6428,0.1521,0.0855,301
-2.705260340591211,0.766,0.2322,0.1057,301
-2.6179938779914944,0.866,0.325,0.125,301
-2.530727415391778,0.9397,0.4277,0.1434,301
-2.443460952792061,0.9848,0.5371,0.1607,301
-2.356194490192345,1.0,0.65,0.1768,301
-2.2689280275926285,0.9848,0.7629,0.1915,301
-2.181661564992912,0.9397,0.8723,0.2048,301
-2.0943951023931953,0.866,0.975,0.2165,301
-2.007128639793479,0.766,1.0678,0.2266,301
-1.9198621771937625,0.6428,1.1479,0.2349,301
-1.8325957145940461,0.5,1.2129,0.2415,301
-1.7453292519943295,0.342,1.2608,0.2462,301
-1.6580627893946132,0.1736,1.2901,0.249,301
-1.5707963267948966,0.0,1.3,0.25,301
-1.4835298641951802,-0.1736,1.2901,0.249,301
-1.3962634015954636,-0.342,1.2608,0.2462,301
-1.3089969389957472,-0.5,1.2129,0.2415,301
-1.2217304763960306,-0.6428,1.1479,0.2349,301
-1.1344640137963142,-0.766,1.0678,0.2266,301
-1.0471975511965976,-0.866,0.975,0.2165,301
-0.9599310885968813,-0.9397,0.8723,0.2048,301
-0.8726646259971648,-0.9848,0.7629,0.1915,301
-0.7853981633974483,-1.0,0.65,0.1768,301
-0.6981317007977318,-1.0216,0.5422,0.1416,301
-0.6806784082777885,-1.0239,0.5206,0.1346,301
-0.6632251157578453,-1.0162,0.4991,0.1276,301
-0.6457718232379019,-1.0185,0.4775,0.1205,301
-0.6283185307179586,-1.0108,0.4559,0.1135,301
-0.6108652381980153,-1.0031,0.4344,0.1065,301
-0.5934119456780721,-0.9954,0.4128,0.0994,301
-0.5759586531581288,-0.9777,0.3913,0.0924,301
-0.5585053606381855,-0.96353,0.28972,0.05151,301
-0.5235987755982988,-0.96034,0.2563,0.03891,301
