M_range,n,n_cum
2.0,1000.0,1000.0
1.0,999.999999999998,1999.999999999998
0.9,3460.987254853521,5460.987254853519
0.8,11978.432778258533,17439.420033112052
0.7000000000000001,41457.20317867252,58896.62321178457
0.6000000000000001,143482.85182325845,202379.47503504303
0.5000000000000001,496592.32145033474,698971.7964853777
0.40000000000000013,1718699.6953977346,2417671.491883112
0.30000000000000016,5948397.740692188,8366069.2325753
0.20000000000000018,20587328.767335184,28953397.999910485
0.1000000000000002,71252482.47522646,100205880.47513695
